"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1340","test_art_can_be_removed_from_basket[chromium]","tests.ui","Thu Apr 24 10:13:34 UTC 2025","passed","Thu Apr 24 10:13:35 UTC 2025","","arts_test","",""
"","3636","test_admin_user_can_login[chromium]","tests.ui","Thu Apr 24 10:13:36 UTC 2025","passed","Thu Apr 24 10:13:39 UTC 2025","","login_test","",""
"","3308","test_new_user_can_be_registered_via_be[chromium]","tests.ui","Thu Apr 24 10:13:42 UTC 2025","passed","Thu Apr 24 10:13:45 UTC 2025","","register_user_test","",""
"","529","test_art_can_be_added_to_basket[chromium]","tests.ui","Thu Apr 24 10:13:33 UTC 2025","passed","Thu Apr 24 10:13:34 UTC 2025","","arts_test","",""
"","1704","test_new_user_can_be_registered_via_ui[chromium]","tests.ui","Thu Apr 24 10:13:40 UTC 2025","passed","Thu Apr 24 10:13:41 UTC 2025","","register_user_test","",""
